Estados;Domicilios com geladeira (mil unidadades);Domicilios com maquina de lavar roupa (mil unidades);Domicilios com televisao de tela fina (LED, LCD ou plasma);Domicilios com televisao de tubo;Havia microcomputador ou tablet;Havia utilizacao de internet;Populacao Residente Estimada;Domicilios com abastecimento de enrgia eletrica da rede geral;Consumo residencial por UF (2019);PIB;Densidade de moradores por comodo
Acre;246;74;190;42;72;193;881935;253;491;15630;0,72
Alagoas;1096;406;701;290;276;802;3337357;1123;1825;58964;0,548
Amapa;209;130;146;54;74;185;845731;216;525;17497;0,843
Amazonas;1008;676;749;189;330;844;4144597;1055;2037;108181;0,83
Bahia;4969;1879;3200;1353;1542;3912;14873064;5150;7342;293241;0,51
Ceara;2899;1212;1811;788;871;2228;9132078;2970;4586;163575;0,559
Distrito Federal;1002;848;850;81;670;950;3015268;1006;2252;273614;0,503
Espirito Santo;1412;980;1089;191;640;1216;4018650;1421;2624;137346;0,503
Goias;2446;1813;1801;418;985;2074;7018354;2469;5115;208672;0,495
Maranhao;2022;575;1312;538;394;1408;7075181;2081;3304;97340;0,639
Mato Grosso;1132;791;864;149;463;979;3484466;1142;3100;142122;0,539
Mato Grosso do Sul;918;648;644;154;408;800;2778986;927;2150;106943;0,513
Minas Gerais;7374;4771;4677;1559;3401;6197;21168791;7451;11322;651873;0,453
Para;2322;816;1561;622;626;1875;8602865;2414;3612;178377;0,758
Paraiba;1279;475;819;348;390;1016;4018127;1310;2021;67986;0,522
Parana;4020;3292;2989;557;2005;3409;11433957;4039;7737;466377;0,471
Pernambuco;3192;1357;2245;733;1000;2465;9557071;3272;5164;197853;0,532
Piaui;995;303;545;340;267;695;3273227;1016;1776;52781;0,53
Rio de Janeiro;6468;5369;5040;748;3233;5587;17264943;6498;13270;779928;0,511
Rio Grande do Norte;1128;507;693;316;400;907;3506853;1141;2229;71337;0,551
Rio Grande do Sul;4323;3698;3012;594;2223;3654;11377239;4339;9045;482464;0,465
Rondonia;585;383;433;86;210;490;1777225;589;1291;47091;0,568
Roraima;143;93;98;33;53;124;605761;152;446;14292;0,809
Santa Catarina;2550;2401;2002;272;1376;2245;7164788;2558;6102;323264;0,451
Sao Paulo;16014;13825;12542;1735;8817;14486;45919049;16126;41150;2348338;0,52
Sergipe;763;306;526;168;216;628;2298696;785;1213;44689;0,504
Tocantins;515;226;303;149;155;394;1572866;521;1050;39356;0,55
